"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\components\header\index.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\index.js", "JavaScript", 0, 0, 0, 171, 0, 0, 0, 0, 0, 1, 9, 181
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\index.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 8, 144
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkBalanceSheet\index.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 114
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkBalanceSheet\index.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkCash\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkCash\index.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkJournalEntry\index.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 13, 136
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkJournalEntry\index.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 51
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkProfitSheet\index.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkProfitSheet\index.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\downloadExperimentReport\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\downloadExperimentReport\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\experimentalExperience\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\experimentalExperience\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\memberSet\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\memberSet\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\previewExperimentReport\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\previewExperimentReport\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\routes.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 3, 79
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\loading\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\loading\index.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\desItem\index.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\desItem\index.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\verificationImg\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 6, 31
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\verificationImg\index.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\index.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 6, 10, 129
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\index.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 60
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\register\index.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 5, 98
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\register\index.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\containerMain\components.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 2, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\containerMain\index.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 16, 5, 50
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\header\index.js", "JavaScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 71, 16, 198
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\header\index.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\index.js", "JavaScript", 0, 0, 0, 144, 0, 0, 0, 0, 0, 6, 6, 156
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\index.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 10, 146
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userList\index.js", "JavaScript", 0, 0, 0, 352, 0, 0, 0, 0, 0, 97, 24, 473
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userList\index.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 6, 31
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userapproval\index.js", "JavaScript", 0, 0, 0, 366, 0, 0, 0, 0, 0, 68, 24, 458
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userapproval\index.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\advertisingInvestmentAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\comprehensiveMarketShareAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\costToSalesAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\costToSalesChange\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\ownerEquityAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\productMarketShareAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\productionCapacityAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\profitAnalysisOfProductContribution\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\createGame\batchImport\index.js", "JavaScript", 0, 0, 0, 283, 0, 0, 0, 0, 0, 62, 19, 364
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\createGame\filterUser\components\createModal.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 5, 10, 124
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\createGame\filterUser\index.js", "JavaScript", 0, 0, 0, 295, 0, 0, 0, 0, 0, 59, 21, 375
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\historyReports\index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\main\index.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 8, 5, 92
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\main\index.scss", "SCSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\manageGroups\teacherCreatedGroups\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\manageGroups\userCreatedGroups\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyAdvertisingInvestmentAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyComprehensiveMarketShareAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyCostToSalesAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyCostToSalesChange\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyOwnerEquityAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyProductMarketShareAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyProductionCapacityAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\viewHistoricalReports\historyProfitAnalysisOfProductContribution\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\routes\index.js", "JavaScript", 0, 0, 0, 225, 0, 0, 0, 0, 0, 8, 10, 243
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\store\actionCreators.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 7, 6, 85
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\store\actionTypes.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\store\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\store\reducer.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\createGame\index.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 6, 70
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\createGame\index.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\joinGroup\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\joinGroup\index.scss", "SCSS", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\modifyForm\index.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 6, 96
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\modifyForm\index.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\startGame\index.js", "JavaScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 16, 172
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\component\startGame\index.scss", "SCSS", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 11, 101
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\index.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\index.scss", "SCSS", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 2, 49
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\routes.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 2, 100
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\store\actionCreators.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 12, 14, 135
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\store\actionTypes.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\store\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\userprepare\store\reducer.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\routes.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 2, 49
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\common\actionCreators.js", "JavaScript", 0, 0, 0, 247, 0, 0, 0, 0, 0, 32, 15, 294
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\common\actionTypes.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\common\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\common\reducer.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 8, 5, 45
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\store\reducer.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\unauth.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\utils\request\http.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 23, 3, 68
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\utils\request\index.js", "JavaScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 432, 139, 755
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\utils\websocket\index.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 16, 22, 125
"Total", "-", 17, 15448, 42, 9859, 2253, 33, 150, 34, 1, 1404, 1199, 30440